Accession No,Primary Maker name only,Name Title,Brief Description,Media Materials,Measurement Reading Metric Imp Y display only,Department,Other Id,Collection,Current Location,Current Location Reason,Current Location Date,Current Owner,Acquisition Method,Acquisition Reason,Acquisition Date,Credit Line,Item Count
VUW.1976.1,Fatu Feu'u,Do Women Have To Be Naked To Get Into the Met. Museum?,"Abstract - broad horizontal swathes of colour (blue, red, orange, green)",,,VUW Art,308388,Victoria University of Wellington Art Collection,Philosophy Building/Room 26,Temporary Exhibit,10-Nov-11,,Purchase,Collection Policy,1976,Victoria University of Wellington Art Collection,
VUW.1974.1,Justin Summerton,The Mice at Work: Threading the Needle,,,,VUW Art,308389,,Science Building/Room 5,Temporary Exhibit,16-Dec-10,VICTORIA UNIVERSITY OF WELLINGTON,Purchase,Collection Policy,1974,Victoria University of Wellington Art Collection Presented by Mr M L Boyd,
VUW.1974.2,Manos Nathan,Pencil Mask,,,,VUW Art,308570,Victoria University of Wellington Art Collection,Music Building/Room 20,Temporary Exhibit,8-May-14,,Donation,,1974,Victoria University of Wellington Art Collection Presented by students and friends of J C Beaglehole and Ernest Beaglehole.,
VUW.1961.1,Owen Mapp,The Three Dancers,,,,VUW Art,308390,Victoria University of Wellington Art Collection,Music Building/Room 5,Temporary Storage,16-Nov-15,,Donation,Collection Policy,1961,Victoria University of Wellington Art Collection Presented by John and May Manoy 1961,
VUW.1964.1,Manos Nathan,The Badminton Game,,,,VUW Art,308569,Victoria University of Wellington Art Collection,Art Building/Room 13,Temporary Storage,13-Aug-15,,Donation,Collection Policy,1964,Victoria University of Wellington Art Collection Presented by Mr R S V Simpson,
VUW.1993.1,Christina Wirihana,Nude Girl,diptych,,,VUW Art,308391,,Music Building/Room 26,Temporary Exhibit,28-Jun-11,,,,,Victoria University of Wellington Art Collection,
VUW.1991.1,Phil Price,Sun and Moon,,,,VUW Art,308602,Victoria University of Wellington Art Collection,Music Building/Room 18,Permanent Exhibit,1-Dec-11,,Purchase,Collection Policy,1991,Victoria University of Wellington Art Collection,
VUW.1983.1,Mary Elizabeth Tripe,The Artist's Hand I,Abstract - brown colours with four white triangles (one in each corner),,,VUW Art,308393,Victoria University of Wellington/WELLINGTON,Art Building/Room 36,Temporary Storage,11-Nov-15,VICTORIA UNIVERSITY OF WELLINGTON,Dealer/Purchase,Collection Policy,8-Sep-83,Victoria University of Wellington Art Collection,
VUW.1980.1,Mary Elizabeth Tripe,Light Bulbs,,,,VUW Art,308394,Victoria University of Wellington/WELLINGTON,Music Building/Room 47,Temporary Storage,22-Jul-10,VICTORIA UNIVERSITY OF WELLINGTON,Dealer/Purchase,Collection Policy,14-Mar-80,Victoria University of Wellington Art Collection,
VUW.1992.1,Rhona Haszard,Interior II,,,,VUW Art,308396,Victoria University of Wellington Art Collection,Art Building/Room 14,Temporary Exhibit,29-Oct-15,,Dealer/Purchase,Collection Policy,18-Feb-92,Victoria University of Wellington Art Collection,
